 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
"","Hartford Insurance","","","","","",,,"",False,False,True,,744,""
"","Heiwado(Shiyokuhin)","","","","","",,,"",False,False,True,,726,""
"","Herb & Sea","","","","","",,,"",False,False,True,,724,""
"","Hernandez Custom Upholstery","","","","","",,,"",False,False,True,,750,""
"","Hinotez","","","","","",,,"",False,False,True,,724,""
"","Hohokamdiner","","","","","",,,"",False,False,True,,724,""
"","Ikea","","","","","",,,"",False,False,True,,726,""
"","Imperial Station","","","","","",,,"",False,False,True,,724,""
"","Industrial Strength LLC","","","","","",,,"",False,False,True,,600,""
"","Inscriptu Inc","","","","","",,,"",False,False,True,,726,""
"","Jewelry This Way","","","","","",,,"",False,False,True,,600,""
"","Jimmy Buddha Designs","","","","","",,,"",False,False,True,,600,""
"","Jiyoisaundonanbaebisuten","","","","","",,,"",False,False,True,,724,""
"","Joeltron","","","","","",,,"",False,False,True,,600,""
"","Juanitas Taco Shop","","","","","",,,"",False,False,True,,724,""
"","Junipurr Jewelry","","","","","",,,"",False,False,True,,600,""
"","Kc Tandoor","","","","","",,,"",False,False,True,,724,""
"","King Grip","","","","","",,,"",False,False,True,,615,""
"","Kingpin Tattoo Supply","","","","","",,,"",False,False,True,,615,""
"","Kinokuniya Book Store","","","","","",,,"",False,False,True,,454,""
"","Kojin Taxi Co-Operative","","","","","",,,"",False,False,True,,757,""
"","Krown Transportation","","","","","",,,"",False,False,True,,454,""
"","Kura Sushi","","","","","",,,"",False,False,True,,724,""
"","Kushikatsutanaka","","","","","",,,"",False,False,True,,724,""
"","Laughing Buddha Body Piercing","","","","","",,,"",False,False,True,,600,""
"","Law Office Of Gregory","","","","","",,,"",False,False,True,,747,""
"","Lazy Acres","","","","","",,,"",False,False,True,,724,""
"","Leroi Inc","","","","","",,,"",False,False,True,,600,""
"","Leucadia Glass","","","","","",,,"",False,False,True,,750,""
"","Leucadia Liquor","","","","","",,,"",False,False,True,,724,""
"","Leucadia Pizza Restaurant","","","","","",,,"",False,False,True,,724,""
"","Lowes","","","","","",,,"",False,False,True,,750,""
"","M.O.M. Productions","","","","","",,,"",False,False,True,,723,""
"","Magnolia Cafe","","","","","",,,"",False,False,True,,724,""
"","Maya Jewelry","","","","","",,,"",False,False,True,,600,""
"","Medieval Times","","","","","",,,"",False,False,True,,729,""
"","Meitetsu Inn Shinosakaeki","","","","","",,,"",False,False,True,,757,""
"","Merch Bnkcd Discount","","","","","",,,"",False,False,True,,736,""
"","Mfi Medical","","","","","",,,"",False,False,True,,605,""
"","Michaels","","","","","",,,"",False,False,True,,726,""
"","Miraizaka Shibuyadogenzak","","","","","",,,"",False,False,True,,724,""
"","Modern Mood","","","","","",,,"",False,False,True,,600,""
"","My Mini factory","","","","","",,,"",False,False,True,,723,""
"","n","","","","","",,,"",False,False,True,,736,""
"","Necessity Coffee","","","","","",,,"",False,False,True,,724,""
"","Nectarine Grove","","","","","",,,"",False,False,True,,724,""
"","Neilmed","","","","","",,,"",False,False,True,,605,""
"","Neometal Inc","","","","","",,,"",False,False,True,,600,""
"","Nmpac","","","","","",,,"",False,False,True,,615,""
"","Nta America","","","","","",,,"",False,False,True,,757,""
"","Office Depot","","","","","",,,"",False,False,True,,726,""
"","Oojo Travel","","","","","",,,"",False,False,True,,757,""
"","Orbitz","","","","","",,,"",False,False,True,,757,""
"","Overnightprints.Com","","","","","",,,"",False,False,True,,726,""
"","Pacwsale","","","","","",,,"",False,False,True,,615,""
"","Pacwsale #11136","","","","","",,,"",False,False,True,,,""
"","Painful Pleasures Tattoo Supply","","","","","",,,"",False,False,True,,615,""
"","Patreon Inc","","","","","",,,"",False,False,True,,730,""
"","Paypal Membership","","","","","",,,"",False,False,True,,736,""
"","Paypal Seasonshmj","","","","","",,,"",False,False,True,,,""
"","Peoples Jewelry","","","","","",,,"",False,False,True,,600,""
"","Ph Lodging","","","","","",,,"",False,False,True,,757,""
"","Phoebes Diner","","","","","",,,"",False,False,True,,724,""
"","Piercers.Com","","","","","",,,"",False,False,True,,600,""
"","Planet Hollywood","","","","","",,,"",False,False,True,,757,""
"","PPS Pay","","","","","",,,"",False,False,True,,704,""
"","Prime Video","","","","","",,,"",False,False,True,,729,""
"","Primo Water","","","","","",,,"",False,False,True,,726,""
"","Print Peppermint","","","","","",,,"",False,False,True,,723,""
"","Printing Services","","","","","",,,"",False,False,True,,726,""
"","Propper Manufacturing","","","","","",,,"",False,False,True,,605,""
"","Purklenz","","","","","",,,"",False,False,True,,605,""
"","Quality Logo Products","","","","","",,,"",False,False,True,,726,""
"","Queenstage Coffee","","","","","",,,"",False,False,True,,724,""
"","Quetzalli Jewelry","","","","","",,,"",False,False,True,,600,""
"","Radio America","","","","","",,,"",False,False,True,,723,""
"","Rakiraki Ramen","","","","","",,,"",False,False,True,,724,""
"","Rakutenpay Reinbou","","","","","",,,"",False,False,True,,724,""
"","Ralphs","","","","","",,,"",False,False,True,,724,""
"","Razorblade Pro","","","","","",,,"",False,False,True,,615,""
"","Reactive Metals Studio","","","","","",,,"",False,False,True,,600,""
"","Red Fox Steakhouse","","","","","",,,"",False,False,True,,724,""
"","Rico Three","","","","","",,,"",False,False,True,,724,""
"","Ring","","","","","",,,"",False,False,True,,730,""
"","Rosannas Pasta","","","","","",,,"",False,False,True,,724,""
"","Rosonchiketsuto","","","","","",,,"",False,False,True,,454,""
"","Route Inn Koukaminakuchi","","","","","",,,"",False,False,True,,757,""
"","Roxy","","","","","",,,"",False,False,True,,724,""
"","Ruiz Liquor","","","","","",,,"",False,False,True,,724,""
"","Ryan Breceda - Wire Transfer","","","","","",,,"",False,False,True,,459,""
"","Sage Hill Ranch Gardens","","","","","",,,"",False,False,True,,724,""
"","Same  Same","","","","","",,,"",False,False,True,,724,""
"","Samsonite Factory Outlet","","","","","",,,"",False,False,True,,757,""
"","San Diego County Dept of Environmental Health & Quality","","","","","",,,"",False,False,True,,751,""
"","San Diego County Service Fee","","","","","",,,"",False,False,True,,751,""
"","San Diego County Treasurer","","","","","",,,"",False,False,True,,751,""
"","San Diego Gas & Electric","","","","","",,,"",False,False,True,,753,""
"","San Diego Tattoo","","","","","",,,"",False,False,True,,615,""
"","San Diego Tattoo Supply","","","","","",,,"",False,False,True,,615,""
"","San Diego Water Authority","","","","","",,,"",False,False,True,,753,""
"","Sand Diego Tattoo Supply Co","","","","","",,,"",False,False,True,,615,""
"","Santanas Mexican Food","","","","","",,,"",False,False,True,,724,""
"","Seasons","","","","","",,,"",False,False,True,,757,""
"","Service Charges","","","","","",,,"",False,False,True,,717,""
"","Shell","","","","","",,,"",False,False,True,,731,""
"","Sherwin Williams","","","","","",,,"",False,False,True,,750,""
"","Shinsaibashi Parco","","","","","",,,"",False,False,True,,454,""
"","Shiyabuyo","","","","","",,,"",False,False,True,,724,""
"","Shopify","","","","","",,,"",False,False,True,,736,""
"","Silkcards","","","","","",,,"",False,False,True,,723,""
"","Singapore Airlines","","","","","",,,"",False,False,True,,757,""
"","Siteground Hosting","","","","","",,,"",False,False,True,,730,""
