 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
,Double Tree,,,,,,,,,FALSE,FALSE,TRUE,,757,
,Dunn-Edwards,,,,,,,,,FALSE,FALSE,TRUE,,750,
,Emma Massey,,,,,,,,,FALSE,FALSE,TRUE,,100,
,Etsy.Com,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Evania Spa,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Evelyn Mercado,,,,,,,,,FALSE,FALSE,TRUE,,100,
,Ever After Beauty,,,,,,,,,FALSE,FALSE,TRUE,,722,
,Evite,,,,,,,,,FALSE,FALSE,TRUE,,723,
,Farm,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Figs,,,,,,,,,FALSE,FALSE,TRUE,,722,
,Finance Charge,,,,,,,,,FALSE,FALSE,TRUE,,910,
,First Insurance,,,,,,,,,FALSE,FALSE,TRUE,,744,
,Foreign Transaction Fee,,,,,,,,,FALSE,FALSE,TRUE,,717,
,Franchise Tax Board,,,,,,,,,FALSE,FALSE,TRUE,,915,
,Free At Lash Arroyo,,,,,,,,,FALSE,FALSE,TRUE,,600,
,From you flowers,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Frontier,,,,,,,,,FALSE,FALSE,TRUE,,753,
,Futa Taxes Paid,,,,,,,,,FALSE,FALSE,TRUE,,344,
,General Motors,,,,,,,,,FALSE,FALSE,TRUE,,757,
,George's Market,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Gm Financial,,,,,,,,,FALSE,FALSE,TRUE,,402,
,GoDaddy.com,,,,,,,,,FALSE,FALSE,TRUE,,714,
,Gregory B Mcmahill OD,,,,,,,,,FALSE,FALSE,TRUE,,705,
,Guys Italian Restaurant,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Hall Wines,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Hampton Inn,,,,,,,,,FALSE,FALSE,TRUE,,757,
,Harry & David,,,,,,,,,FALSE,FALSE,TRUE,,726,
