 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
"","Carmina'S Authentic Mexican","","","","","",,,"",False,False,True,,724,""
"","Cash App Ashley Perry","","","","","",,,"",False,False,True,,451,""
"","Cash App Jayne Doh","","","","","",,,"",False,False,True,,451,""
"","Cash App John Whittam","","","","","",,,"",False,False,True,,451,""
"","Cash App Katelynn","","","","","",,,"",False,False,True,,451,""
"","Cash App Megan Martin","","","","","",,,"",False,False,True,,451,""
"","Cash App Sharrdae","","","","","",,,"",False,False,True,,451,""
"","Cash App Whitney","","","","","",,,"",False,False,True,,451,""
"","Cash Back","","","","","",,,"",False,False,True,,590,""
"","Castle Liquor Mini Mart","","","","","",,,"",False,False,True,,724,""
"","Ch Supply","","","","","",,,"",False,False,True,,600,""
"","Chaparral Motorsports","","","","","",,,"",False,False,True,,750,""
"","Chappies Bar Pub","","","","","",,,"",False,False,True,,724,""
"","Chase  - 8959 (315)","","","","","",,,"",False,False,True,,315,""
"","Chase - 8959 (315)","","","","","",,,"",False,False,True,,,""
"","Chase Credit","","","","","",,,"",False,False,True,,315,""
"","Chevron","","","","","",,,"",False,False,True,,731,""
"","Chick-Fil-A","","","","","",,,"",False,False,True,,724,""
"","Chili's","","","","","",,,"",False,False,True,,724,""
"","China Town Fast Food","","","","","",,,"",False,False,True,,724,""
"","Chinese Food Express","","","","","",,,"",False,False,True,,724,""
"","Cilantro Fresh","","","","","",,,"",False,False,True,,724,""
"","Circle K","","","","","",,,"",False,False,True,,731,""
"","Citi Card","","","","","",,,"",False,False,True,,451,""
"","Citrone","","","","","",,,"",False,False,True,,724,""
"","City Electric Supply","","","","","",,,"",False,False,True,,615,""
"","City Of Cerritos","","","","","",,,"",False,False,True,,751,""
"","City Of Colton","","","","","",,,"",False,False,True,,751,""
"","City Of Loma Linda","","","","","",,,"",False,False,True,,753,""
"","City Of Santa Monica","","","","","",,,"",False,False,True,,753,""
"","Coca Cola","","","","","",,,"",False,False,True,,724,""
"","Colton Golf Club","","","","","",,,"",False,False,True,,729,""
"","Commercial Equipment Supply","","","","","",,,"",False,False,True,,600,""
"","Connals Burgers","","","","","",,,"",False,False,True,,724,""
"","Consolidated Electrical Distributors","","","","","",,,"",False,False,True,,600,""
"","Continental Vending","","","","","",,,"",False,False,True,,724,""
"","Conv Fee S8C Tax","","","","","",,,"",False,False,True,,717,""
"","Corona Motorsports","","","","","",,,"",False,False,True,,999,""
"","Costco","","","","","",,,"",False,False,True,,726,""
"","Cotijas Taco Shop","","","","","",,,"",False,False,True,,724,""
"","County Line","","","","","",,,"",False,False,True,,731,""
"","Coyne Powersports","","","","","",,,"",False,False,True,,600,""
"","Crown Ace Hardware","","","","","",,,"",False,False,True,,615,""
"","Crumble Cookies","","","","","",,,"",False,False,True,,724,""
"","Csi","","","","","",,,"",False,False,True,,615,""
"","Cuca's","","","","","",,,"",False,False,True,,724,""
"","Cvs","","","","","",,,"",False,False,True,,726,""
"","Daddy'S Famous Food","","","","","",,,"",False,False,True,,724,""
"","Daikin","","","","","",,,"",False,False,True,,724,""
"","Daniels Market","","","","","",,,"",False,False,True,,724,""
"","Dc Auto Inc","","","","","",,,"",False,False,True,,731,""
"","Del Taco","","","","","",,,"",False,False,True,,724,""
"","Desert Princess","","","","","",,,"",False,False,True,,724,""
"","DMS Crane","","","","","",,,"",False,False,True,,610,""
"","DMV","","","","","",,,"",False,False,True,,751,""
"","Dollar Tree","","","","","",,,"",False,False,True,,726,""
"","Domino's","","","","","",,,"",False,False,True,,724,""
"","Don Carlos","","","","","",,,"",False,False,True,,724,""
"","Don Orange Tacos","","","","","",,,"",False,False,True,,724,""
"","Double Good Popcorn","","","","","",,,"",False,False,True,,724,""
"","Douglas Burgers","","","","","",,,"",False,False,True,,724,""
"","Dr. Squatch","","","","","",,,"",False,False,True,,726,""
"","Ds Waters Of America","","","","","",,,"",False,False,True,,726,""
"","Dsw","","","","","",,,"",False,False,True,,722,""
"","Ebay","","","","","",,,"",False,False,True,,615,""
"","Edc","","","","","",,,"",False,False,True,,615,""
"","El Mariachi Taco Shop","","","","","",,,"",False,False,True,,724,""
"","El Pollo Loco","","","","","",,,"",False,False,True,,724,""
"","El Taquito","","","","","",,,"",False,False,True,,724,""
"","Electric Bill","","","","","",,,"",False,False,True,,753,""
"","Epe Ticketing","","","","","",,,"",False,False,True,,451,""
"","Exxonmobil","","","","","",,,"",False,False,True,,731,""
"","Farmer Boys","","","","","",,,"",False,False,True,,724,""
"","Fastr","","","","","",,,"",False,False,True,,724,""
"","Feld Motor Sports","","","","","",,,"",False,False,True,,731,""
"","Ferguson Plumbing Supply","","","","","",,,"",False,False,True,,615,""
"","Ferro Restaurant","","","","","",,,"",False,False,True,,724,""
"","Fiesta Tacos Y Mas","","","","","",,,"",False,False,True,,724,""
"","Fifth Third Bank","","","","","",,,"",False,False,True,,451,""
"","Finneys","","","","","",,,"",False,False,True,,724,""
"","Flores Arandas Tacos","","","","","",,,"",False,False,True,,724,""
"","Flying Frog Car Wash","","","","","",,,"",False,False,True,,750,""
"","Food & Fuel","","","","","",,,"",False,False,True,,724,""
"","Foster Ice","","","","","",,,"",False,False,True,,726,""
"","Fresh Wok","","","","","",,,"",False,False,True,,724,""
"","Fuego Hibachi","","","","","",,,"",False,False,True,,724,""
"","Fullerton State","","","","","",,,"",False,False,True,,732,""
"","Futa Taxes Paid","","","","","",,,"",False,False,True,,344,""
"","Gandhi Cuisine Of India","","","","","",,,"",False,False,True,,724,""
"","Geary Pacific Supply","","","","","",,,"",False,False,True,,600,""
"","Giant Rv","","","","","",,,"",False,False,True,,757,""
"","Gilbert Inc","","","","","",,,"",False,False,True,,615,""
"","Girl Scouts","","","","","",,,"",False,False,True,,724,""
"","Glamis Beach","","","","","",,,"",False,False,True,,722,""
"","Glamislivethelife","","","","","",,,"",False,False,True,,729,""
"","Global Credit Union","","","","","",,,"",False,False,True,,451,""
"","Gm Financial","","","","","",,,"",False,False,True,,412,""
"","Golf Galaxy","","","","","",,,"",False,False,True,,729,""
"","Goose Creek Golf","","","","","",,,"",False,False,True,,729,""
"","Gosch Ford","","","","","",,,"",False,False,True,,750,""
"","Grainger","","","","","",,,"",False,False,True,,615,""
"","Guacamole Grille","","","","","",,,"",False,False,True,,724,""
"","Gus Jr","","","","","",,,"",False,False,True,,724,""
"","Guys Italian Restaurant","","","","","",,,"",False,False,True,,724,""
"","H&M Oil","","","","","",,,"",False,False,True,,731,""
"","Habit Burger","","","","","",,,"",False,False,True,,724,""
"","Hacienda Village Meat","","","","","",,,"",False,False,True,,726,""
"","Hairstyling","","","","","",,,"",False,False,True,,451,""
"","Hajoca Palm Springs","","","","","",,,"",False,False,True,,724,""
"","Haldeman Inc","","","","","",,,"",False,False,True,,600,""
"","Happy Boy Kitchen","","","","","",,,"",False,False,True,,724,""
"","Happy's Liquor","","","","","",,,"",False,False,True,,724,""
"","Harbor Freight Tools","","","","","",,,"",False,False,True,,615,""
"","Harkins","","","","","",,,"",False,False,True,,729,""
"","Harney Sushi","","","","","",,,"",False,False,True,,724,""
"","Harry'S Cafe","","","","","",,,"",False,False,True,,724,""
"","Hatfield Buick Gmc","","","","","",,,"",False,False,True,,731,""
"","Helm & Sons Fair","","","","","",,,"",False,False,True,,724,""
"","Hidden Valley Golf Course","","","","","",,,"",False,False,True,,724,""
"","Highland Fuel","","","","","",,,"",False,False,True,,731,""
"","Hillstone","","","","","",,,"",False,False,True,,724,""
"","Hirsch Pipe & Supply","","","","","",,,"",False,False,True,,615,""
"","Hit & Run Insurance","","","","","",,,"",False,False,True,,744,""
"","Hof's Hut","","","","","",,,"",False,False,True,,724,""
"","Holiday Inn","","","","","",,,"",False,False,True,,757,""
"","Hollister","","","","","",,,"",False,False,True,,722,""
"","Honeybaked Ham","","","","","",,,"",False,False,True,,724,""
"","Howard Industries","","","","","",,,"",False,False,True,,600,""
"","Hudsonnews","","","","","",,,"",False,False,True,,726,""
"","Hungry Bear Tacos","","","","","",,,"",False,False,True,,724,""
"","Hvac Fiting Supply","","","","","",,,"",False,False,True,,615,""
"","Ig Perez Tirez","","","","","",,,"",False,False,True,,750,""
"","Ike's Love & Sandwiches","","","","","",,,"",False,False,True,,724,""
"","Il Corso","","","","","",,,"",False,False,True,,724,""
"","Indestructible disc","","","","","",,,"",False,False,True,,615,""
"","Inland Golf","","","","","",,,"",False,False,True,,729,""
"","Inland Regional","","","","","",,,"",False,False,True,,610,""
"","In-N-Out","","","","","",,,"",False,False,True,,724,""
"","Interest Charge","","","","","",,,"",False,False,True,,900,""
"","Intuit","","","","","",,,"",False,False,True,,730,""
"","Isabellas Ristorante","","","","","",,,"",False,False,True,,724,""
"","Jack In The Box","","","","","",,,"",False,False,True,,724,""
"","Jacob Logar - Electrical Bill","","","","","",,,"",False,False,True,,753,""
"","Jacob Logar - Rent","","","","","",,,"",False,False,True,,748,""
"","Jacob Logar - Suite E Rent","","","","","",,,"",False,False,True,,748,""
"","Jacob Logar - Suite P Rent","","","","","",,,"",False,False,True,,748,""
"","Jb Burgers","","","","","",,,"",False,False,True,,724,""
"","Jiffy Lube","","","","","",,,"",False,False,True,,750,""
"","Jimmy Johns","","","","","",,,"",False,False,True,,724,""
"","Jims Burger","","","","","",,,"",False,False,True,,724,""
"","Joe'S Auto Parks","","","","","",,,"",False,False,True,,731,""
"","Joe'S Liquor Inc","","","","","",,,"",False,False,True,,724,""
"","Johnies Jr Broiler","","","","","",,,"",False,False,True,,724,""
"","Johnstone Supply","","","","","",,,"",False,False,True,,615,""
"","Jp Morgan Chase Fee","","","","","",,,"",False,False,True,,717,""
"","Julian M Tudose","","","","","",,,"",False,False,True,,999,""
"","Kaiser","","","","","",,,"",False,False,True,,705,""
"","Ken Grody Ford","","","","","",,,"",False,False,True,,750,""
"","Kh Metals And Supply","","","","","",,,"",False,False,True,,615,""
"","King Market","","","","","",,,"",False,False,True,,724,""
"","Kohls","","","","","",,,"",False,False,True,,722,""
"","Kp Rx","","","","","",,,"",False,False,True,,726,""
"","Ks.Gov","","","","","",,,"",False,False,True,,751,""
"","La Autentica","","","","","",,,"",False,False,True,,724,""
"","La Estrella","","","","","",,,"",False,False,True,,724,""
"","La Familia Street Taco","","","","","",,,"",False,False,True,,724,""
"","La Fitness","","","","","",,,"",False,False,True,,730,""
"","La Mexicana","","","","","",,,"",False,False,True,,724,""
"","La Spiga Ristorante","","","","","",,,"",False,False,True,,724,""
"","Laa Legends Concessions","","","","","",,,"",False,False,True,,724,""
